SegmentID,M,Yr,D,WktGeom,street,Vol,fromSt,toSt
65967,6,2022,16,POINT (1000731.5336691153 209191.80335594836),HUNTERS POINT BRIDGE,1087,Dead End,Dutch Kills Shoreline
189271,6,2022,23,POINT (1000124.7052589084 208538.8773739439),BORDEN AVENUE BRIDGE,15591,Borden Avenue,Dead end
189271,6,2022,22,POINT (1000124.7052589084 208538.8773739439),BORDEN AVENUE BRIDGE,14502,Borden Avenue,Dead end
9000874,9,2023,20,POINT (1009202.7227579828 213713.08725019929),51 STREET,5747,Dead End,Northern Boulevard
253492,1,2024,12,POINT (1018213.9448553473 207844.39374417067),BROADWAY,5554,Queens Boulevard,Queens Boulevard Line
133440,11,2023,16,POINT (1050796.0649834706 182183.91991279385),BELT PARKWAY EXIT 21 WESTBOUND,4500,Belt Parkway,North Conduit Avenue
147692,3,2022,8,POINT (1055642.3214792507 205325.99368021605),BRADDOCK AVENUE,11881,Hillside Avenue,221 Street
57162,1,2024,20,POINT (1038800.1226020441 190235.14743930462),109 AVENUE,3443,143 Street,Pinegrove Street
53435,3,2022,16,POINT (1029932.6631676898 199586.14595438848),AUSTIN STREET,3003,77 Road,77 Avenue
156596,5,2022,16,POINT (1023913.269033063 183538.80365108862),LINDEN BOULEVARD,12037,Dead End,79 Street
117626,6,2023,6,POINT (1057869.2961045634 220710.07433035847),NORTHERN BOULEVARD,16257,Morgan Street,Glenwood Street
170400,1,2022,30,POINT (1034954.4800069059 197219.63500045525),86 AVENUE,2007,Queens Boulevard,139 Street
102994,6,2022,30,POINT (1067176.7350721152 208645.26446477076),HILLSIDE AVENUE,1038,268 Street,Langdale Street
170400,1,2022,31,POINT (1034954.4800069059 197219.63500045525),86 AVENUE,2944,Queens Boulevard,139 Street
156596,5,2022,18,POINT (1023913.269033063 183538.80365108862),LINDEN BOULEVARD,15399,Dead End,79 Street
115413,5,2023,23,POINT (1007089.8422828304 199004.03661244072),FLUSHING AVENUE,0,Dead End,Troutman Street
170400,1,2022,28,POINT (1034954.4800069059 197219.63500045525),86 AVENUE,2431,Queens Boulevard,139 Street
57162,1,2024,29,POINT (1038800.1226020441 190235.14743930462),109 AVENUE,3669,143 Street,Pinegrove Street
65967,6,2022,21,POINT (1000731.5336691153 209191.80335594836),HUNTERS POINT BRIDGE,1013,Dead End,Dutch Kills Shoreline
189271,6,2022,25,POINT (1000124.7052589084 208538.8773739439),BORDEN AVENUE BRIDGE,11435,Borden Avenue,Dead end
184144,1,2022,25,POINT (1033327.794479462 198586.42062241075),VAN WYCK EXPRESSWAY EXIT 9 NB,9026,Van Wyck Expressway,Dead end
117626,6,2023,7,POINT (1057869.2961045634 220710.07433035847),NORTHERN BOULEVARD,16043,Morgan Street,Glenwood Street
75814,6,2024,10,POINT (1012773.574505262 214116.50164328783),NORTHERN BOULEVARD,23231,69 Street,70 Street
62497,6,2023,30,POINT (1056415.1868210472 170827.2200271171),HOOK CREEK BRIDGE,70570,Hook Creek Shoreline,Dead end
115413,5,2023,28,POINT (1007089.8422828304 199004.03661244072),FLUSHING AVENUE,0,Dead End,Troutman Street
77104,5,2022,17,POINT (1015029.50289154 223906.76034060976),RIKERS ISLAND BRIDGE,5107,Rikers Is Bridge,Dead end
189271,6,2022,11,POINT (1000124.7052589084 208538.8773739439),BORDEN AVENUE BRIDGE,9801,Borden Avenue,Dead end
115413,5,2023,15,POINT (1007089.8422828304 199004.03661244072),FLUSHING AVENUE,0,Dead End,Troutman Street
65788,5,2022,7,POINT (1060083.0573033746 191020.48249317423),LINDEN BOULEVARD,11785,Cross Island Parkway,Dead end
174904,3,2023,30,POINT (1015366.8530253103 204474.92114100757),LONG ISLAND EXPWY ET 19 WB,14835,74 Street,Dead End
